Year,Lake,Species,Michigan (MI),New York (NY),Ohio (OH),Pennsylvania (PA),U.S. Total,Canada (ONT),Grand Total,Comments
1928,Erie,Sauger,14,,1492,,1506,,1506,
1929,Erie,Sauger,15,,1529,1,1545,,1545,
1930,Erie,Sauger,24,,1508,,1532,,1532,
1931,Erie,Sauger,27,,1999,,2026,,2026,
1932,Erie,Sauger,62,,3089,,3151,,3151,
1933,Erie,Sauger,67,,2152,,2219,,2219,
1934,Erie,Sauger,47,,738,,785,,785,
1935,Erie,Sauger,58,,1479,,1537,,1537,
1936,Erie,Sauger,33,,1704,,1737,,1737,
1937,Erie,Sauger,42,1,1172,,1215,,1215,
1938,Erie,Sauger,42,0,802,,844,,844,
1939,Erie,Sauger,79,0,1661,,1740,,1740,
1940,Erie,Sauger,32,,579,,611,,611,
1941,Erie,Sauger,34,,739,,773,,773,
1942,Erie,Sauger,46,,1300,,1346,,1346,
1943,Erie,Sauger,13,,1033,,1046,,1046,
1944,Erie,Sauger,6,,610,,616,,616,
1945,Erie,Sauger,15,,1029,,1044,,1044,
1946,Erie,Sauger,17,,746,,763,,763,
1947,Erie,Sauger,23,,365,0,388,,388,
1948,Erie,Sauger,4,,246,,250,,250,
1949,Erie,Sauger,11,,379,,390,,390,
1950,Erie,Sauger,12,,476,,488,,488,
1951,Erie,Sauger,9,,388,,397,,397,
1952,Erie,Sauger,1,0,203,,204,188,392,
1953,Erie,Sauger,4,,189,,193,137,330,
1954,Erie,Sauger,1,,76,,77,87,164,
1955,Erie,Sauger,0,,14,,14,62,76,
1956,Erie,Sauger,0,,12,,12,4,16,
1957,Erie,Sauger,0,,7,,7,3,10,
1958,Erie,Sauger,0,,1,,1,0,1,
1959,Erie,Sauger,,0,1,,1,,1,
1960,Erie,Sauger,,,2,0,2,2,4,
1961,Erie,Sauger,,,0,,0,0,0,
1962,Erie,Sauger,,,0,,0,,0,
1963,Erie,Sauger,,,0,,0,,0,
1964,Erie,Sauger,,,0,,0,0,0,
1965,Erie,Sauger,,,0,,0,,0,
1966,Erie,Sauger,,,0,,0,,0,
1967,Erie,Sauger,,,0,,0,0,0,
1968,Erie,Sauger,,,0,,0,1,1,OH: fishery closed.
1969,Erie,Sauger,,,,,0,,0,
1970,Erie,Sauger,,,,,0,,0,
1971,Erie,Sauger,,,,0,0,,0,
1972,Erie,Sauger,,,,,0,,0,
1973,Erie,Sauger,,,,,0,,0,
1974,Erie,Sauger,,,,,0,,0,
1975,Erie,Sauger,,,,,0,,0,
1976,Erie,Sauger,,,,,0,0,0,
1977,Erie,Sauger,,,,,0,0,0,
1889,Erie,Suckers,33,56,912,71,1072,,1072,
1890,Erie,Suckers,,,,,,,,
1891,Erie,Suckers,124,,,,,,,
1892,Erie,Suckers,77,,,,,,,
1893,Erie,Suckers,296,,,,1361,,1361,
1894,Erie,Suckers,274,,,,,,,
1895,Erie,Suckers,277,,,,,,,
1896,Erie,Suckers,271,,,,,,,
1897,Erie,Suckers,137,,,,,,,
1898,Erie,Suckers,274,,,,,,,
1899,Erie,Suckers,243,93,1172,120,1628,,1628,
1900,Erie,Suckers,282,,,,,,,
1901,Erie,Suckers,390,,,,,,,
1902,Erie,Suckers,266,,,,,,,
1903,Erie,Suckers,305,61,453,58,877,,877,
1904,Erie,Suckers,255,,,,,,,
1905,Erie,Suckers,222,,,,,,,
1906,Erie,Suckers,353,,,,,,,
1907,Erie,Suckers,370,,,,,,,
1908,Erie,Suckers,349,40,1377,44,1810,,1810,
1909,Erie,Suckers,,,,,,,,
1910,Erie,Suckers,,,,,,,,
1911,Erie,Suckers,,,,,,,,
1912,Erie,Suckers,137,,,,137,,137,
1913,Erie,Suckers,126,9,330,,465,,465,OH: Records cover only part of season.
1914,Erie,Suckers,120,34,1197,,1351,,1351,
1915,Erie,Suckers,219,59,845,,1123,,1123,
1916,Erie,Suckers,252,33,1036,,1321,,1321,
1917,Erie,Suckers,148,33,877,,1058,,1058,
1918,Erie,Suckers,92,47,772,,911,,911,
1919,Erie,Suckers,222,71,661,,954,,954,
1920,Erie,Suckers,65,59,938,,1062,,1062,
1921,Erie,Suckers,96,,1324,,1420,,1420,
1922,Erie,Suckers,161,,830,,991,,991,
1923,Erie,Suckers,134,76,828,,1038,,1038,
1924,Erie,Suckers,95,45,544,,684,,684,
1925,Erie,Suckers,80,,,,905,,905,
1926,Erie,Suckers,89,56,899,,1044,,1044,
1927,Erie,Suckers,71,79,972,20,1142,,1142,
1928,Erie,Suckers,44,36,1208,30,1318,,1318,
1929,Erie,Suckers,57,11,1211,14,1293,,1293,
1930,Erie,Suckers,162,131,1702,29,2024,,2024,
1931,Erie,Suckers,173,22,1184,38,1417,,1417,
1932,Erie,Suckers,140,73,1095,14,1322,,1322,
1933,Erie,Suckers,145,16,1341,23,1525,,1525,
1934,Erie,Suckers,102,45,853,24,1024,,1024,
1935,Erie,Suckers,86,33,944,24,1087,,1087,
1936,Erie,Suckers,74,6,847,19,946,,946,
1937,Erie,Suckers,70,13,1011,9,1103,,1103,
1938,Erie,Suckers,42,25,674,15,756,,756,
1939,Erie,Suckers,51,27,919,12,1009,,1009,
1940,Erie,Suckers,23,5,672,14,714,,714,
1941,Erie,Suckers,32,6,640,20,698,,698,
1942,Erie,Suckers,45,3,638,13,699,,699,
1943,Erie,Suckers,54,3,509,10,576,,576,
1944,Erie,Suckers,35,1,416,4,456,,456,
1945,Erie,Suckers,50,2,370,5,427,,427,
1946,Erie,Suckers,47,1,378,6,432,,432,
1947,Erie,Suckers,56,1,506,5,568,,568,
1948,Erie,Suckers,42,2,422,3,469,,469,
1949,Erie,Suckers,37,6,585,6,634,,634,
1950,Erie,Suckers,49,5,591,5,650,,650,
1951,Erie,Suckers,31,2,517,8,558,,558,
1952,Erie,Suckers,27,2,587,10,626,334,960,
1953,Erie,Suckers,22,4,320,6,352,205,557,
1954,Erie,Suckers,20,2,333,5,360,220,580,
1955,Erie,Suckers,11,3,237,5,256,175,431,
1956,Erie,Suckers,20,8,238,3,269,131,400,
1957,Erie,Suckers,19,6,291,12,328,163,491,
1958,Erie,Suckers,39,4,186,15,244,115,359,
1959,Erie,Suckers,18,11,199,21,249,135,384,
1960,Erie,Suckers,31,1,213,4,249,77,326,
1961,Erie,Suckers,62,10,254,4,330,73,403,
1962,Erie,Suckers,56,1,202,2,261,63,324,
1963,Erie,Suckers,62,1,161,1,225,57,282,
1964,Erie,Suckers,54,0,183,2,239,88,327,
1965,Erie,Suckers,58,0,138,0,196,73,269,
1966,Erie,Suckers,44,2,140,0,186,59,245,"OH: Minimum size limit changed from 12'' to 10'', 1 March 1966."
1967,Erie,Suckers,52,12,113,1,178,76,254,
1968,Erie,Suckers,10,10,121,1,142,20,162,
1969,Erie,Suckers,25,33,110,4,172,16,188,
1970,Erie,Suckers,10,7,104,1,122,20,142,
1971,Erie,Suckers,,5,120,3,128,13,141,
1972,Erie,Suckers,6,32,114,2,154,57,211,
1973,Erie,Suckers,10,,114,,124,21,145,
1974,Erie,Suckers,2,22,89,,113,19,132,
1975,Erie,Suckers,2,30,54,,86,27,113,
1976,Erie,Suckers,1,16,63,1,81,23,104,
1977,Erie,Suckers,0,19,33,1,53,19,72,
1978,Erie,Suckers,1,11,34,1,47,29,76,
1979,Erie,Suckers,3,25,42,6,76,30,106,
1980,Erie,Suckers,0,7,33,16,56,68,124,
1981,Erie,Suckers,0,8,39,33,80,33,113,
1982,Erie,Suckers,0,20,42,19,81,15,96,
1983,Erie,Suckers,0,15,50,10,75,29,104,
1984,Erie,Suckers,0,19,20,7,46,17,63,
1985,Erie,Suckers,1,24,30,18,73,9,82,
1986,Erie,Suckers,0,0,34,5,39,6,45,
1987,Erie,Suckers,0,2,42,7,51,3,54,
1988,Erie,Suckers,0,1,21,8,30,1,31,
1989,Erie,Suckers,0,1,39,5,45,2,47,
1990,Erie,Suckers,0,2,41,3,46,2,48,
1991,Erie,Suckers,0,1,40,11,52,4,56,
1992,Erie,Suckers,0,1,55,6,62,10,72,
1993,Erie,Suckers,0,1,53,10,64,5,69,
1994,Erie,Suckers,0,1,68,20,89,67,156,
1995,Erie,Suckers,0,0,77,11,88,8,96,
1996,Erie,Suckers,4,1,62,5.705,72.705,15,87.705,
1997,Erie,Suckers,0,0,57,3.989,60.989,14,74.989,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Suckers,6,0,51,4.827,61.827,4,65.827,
1999,Erie,Suckers,2,0,32,2.43,36.43,4,40.43,
2000,Erie,Suckers,,,30,1.298,31.298,5,36.298,Canadian data is processor weight
2001,Erie,Suckers,,,41,1.042,42.042,1,43.042,Canadian data is processor weight
2002,Erie,Suckers,,33,1,0.65,34.65,7,41.65,Canadian data is landed weight
2003,Erie,Suckers,,0,15,1.323,16.323,0,16.323,Canadian data is landed weight
2004,Erie,Suckers,0.55,0,30,1.75,32.3,76,108.3,Canadian data is landed weight
2005,Erie,Suckers,2.39,42,6,5.572,55.962,80,135.962,Canadian data is landed weight
2006,Erie,Suckers,1.41,0,33,5.825,40.235,59,99.235,
2007,Erie,Suckers,9.712,0,17,3.949,30.661,25,55.661,
2008,Erie,Suckers,11.244,0,24,2.282,37.526,40,77.526,
2009,Erie,Suckers,11.339,0,37,2.484,50.823,52,102.823,
2010,Erie,Suckers,7.919,0,22,2.54,32.459,14,46.459,ONT total includes <100 lbs of redhorse
2011,Erie,Suckers,17.435,0,33.724,0.011,51.17,16,67.17,ONT total includes <100 lbs of redhorse
2012,Erie,Suckers,12.772,0,20.168,0.474,33.414,21,54.414,
2013,Erie,Suckers,10.276,0,18.48,,28.756,34.451,63.207,
2014,Erie,Suckers,1.5,0,5.978,,7.478,21.473,28.951,
2015,Erie,Suckers,0.332,0,4.603,0.33,5.265,48.93,54.195,
2016,Erie,Suckers,0.705,,8.179,0.2,9.084,73.08,82.164,
2017,Erie,Suckers,0.12,,9.672,,9.792,53.589,63.381,
2018,Erie,Suckers,0.149,,9.437,0.12,9.706,36.003,45.709,
2019,Erie,Suckers,1.99,,12.292,,14.282,26.231,40.513,
2020,Erie,Suckers,,,6.181,1.054,7.235,9.852,17.087,
1978,Erie,Sunfish,0,0,0,0,0,51,51,
1979,Erie,Sunfish,0,0,0,0,0,59,59,
1980,Erie,Sunfish,0,0,0,0,0,38,38,
1981,Erie,Sunfish,0,0,0,0,0,71,71,
1982,Erie,Sunfish,0,0,0,0,0,59,59,
1983,Erie,Sunfish,0,0,0,0,0,60,60,
1984,Erie,Sunfish,0,0,0,0,0,68,68,
1985,Erie,Sunfish,0,0,0,0,0,0,0,
1986,Erie,Sunfish,0,0,0,0,0,0,0,
1987,Erie,Sunfish,0,0,0,0,0,0,0,
1988,Erie,Sunfish,0,0,0,0,0,0,0,
1989,Erie,Sunfish,0,0,0,0,0,0,0,
1990,Erie,Sunfish,0,0,0,0,0,61,61,
1991,Erie,Sunfish,0,0,0,0,0,0,0,
1992,Erie,Sunfish,0,0,0,0,0,0,0,
1993,Erie,Sunfish,0,0,0,0,0,0,0,
1994,Erie,Sunfish,0,0,0,0,0,0,0,
1995,Erie,Sunfish,0,0,0,0,0,0,0,
1996,Erie,Sunfish,0,0,0,0,0,0,0,
1997,Erie,Sunfish,0,0,0,0,0,0,0,
1998,Erie,Sunfish,0,0,0,0,0,56,56,
1999,Erie,Sunfish,0,0,0,0,0,50,50,
2002,Erie,Sunfish,,,,0,0,,0,
2003,Erie,Sunfish,,0,,,0,,0,
2004,Erie,Sunfish,,,,,,,,
2005,Erie,Sunfish,,,,,,,,
2006,Erie,Sunfish,,,,,,,,
2007,Erie,Sunfish,,,,2,2,,4,
2008,Erie,Sunfish,,,,1,1,,2,
2009,Erie,Sunfish,,,,1,1,,2,
2010,Erie,Sunfish,,,,0,0,0,0,
2011,Erie,Sunfish,,0,,0,0,,0,
2012,Erie,Sunfish,,0,,0,0,15,15,
2013,Erie,Sunfish,,0,,,0,,0,
2014,Erie,Sunfish,,,,,,0,0,Includes Pomoxis
2015,Erie,Sunfish,,,,,,,,
2016,Erie,Sunfish,,,,,,,,
2017,Erie,Sunfish,,,,,,,,
2018,Erie,Sunfish,,,,,,,,
2019,Erie,Sunfish,,,,,,,,
2020,Erie,Sunfish,,,,,,,,
2015,Erie,Sunfish,,,,,,0,0,Includes Pomoxis
1885,Erie,Walleye,230,878,1402,195,2705,,4302,
1886,Erie,Walleye,,,,,,,,
1887,Erie,Walleye,,,,,,,,
1888,Erie,Walleye,,,,,,,,
1889,Erie,Walleye,55,,,,,,,
1890,Erie,Walleye,311,71,1645,125,2152,,3922,
1891,Erie,Walleye,83,,,,,,,
1892,Erie,Walleye,173,,,,,,,
1893,Erie,Walleye,107,,,,,,,
1894,Erie,Walleye,233,,,,,,,
1895,Erie,Walleye,429,,,,,,,
1896,Erie,Walleye,591,,,,,,,
1897,Erie,Walleye,418,19,1065,27,1529,,2621,
1898,Erie,Walleye,440,,,,,,,
1899,Erie,Walleye,560,22,1196,67,1845,,3108,
1900,Erie,Walleye,191,,,,,,,
1901,Erie,Walleye,401,,,,,,,
1902,Erie,Walleye,446,,,,,,,
1903,Erie,Walleye,275,21,637,14,947,,1598,
1904,Erie,Walleye,189,,,,,,,
1905,Erie,Walleye,452,,,,,,,
1906,Erie,Walleye,397,,,,,,,
1907,Erie,Walleye,403,,,,,,,
1908,Erie,Walleye,458,3,2260,12,2733,,5005,
1909,Erie,Walleye,,,,,,,,
1910,Erie,Walleye,,,,,,,,
1911,Erie,Walleye,,,,,,,,
1912,Erie,Walleye,134,,,,134,,134,
1913,Erie,Walleye,144,4,264,10,422,,696,OH: Records cover only part of season. 
1914,Erie,Walleye,125,9,1725,7,1866,,3598,
1915,Erie,Walleye,203,14,1607,11,1835,608,2443,
1916,Erie,Walleye,112,37,1876,6,2031,599,2630,
1917,Erie,Walleye,134,6,1477,2,1619,228,1847,
1918,Erie,Walleye,46,6,762,6,820,184,1004,
1919,Erie,Walleye,28,4,565,3,600,144,744,
1920,Erie,Walleye,50,5,828,6,889,166,1055,
1921,Erie,Walleye,48,,984,6,1038,311,1349,
1922,Erie,Walleye,14,11,1026,1214,2265,505,2770,
1923,Erie,Walleye,98,6,1023,9,1136,603,1739,
1924,Erie,Walleye,99,11,892,18,1020,615,1635,
1925,Erie,Walleye,75,,1170,,1245,224,1469,
1926,Erie,Walleye,82,2,1179,10,1273,193,1466,
1927,Erie,Walleye,71,5,1269,19,1364,167,1531,
1928,Erie,Walleye,46,10,1245,13,1314,182,1496,
1929,Erie,Walleye,29,11,891,2,933,135,1068,
1930,Erie,Walleye,40,11,1815,24,1890,275,2165,
1931,Erie,Walleye,81,6,2541,16,2644,367,3011,
1932,Erie,Walleye,95,11,1900,17,2023,297,2320,
1933,Erie,Walleye,100,7,1055,20,1182,249,1431,
1934,Erie,Walleye,152,14,1167,12,1345,293,1638,
1935,Erie,Walleye,122,13,1628,21,1784,319,2103,
1936,Erie,Walleye,128,6,2483,19,2636,327,2963,
1937,Erie,Walleye,134,6,2890,30,3060,449,3509,
1938,Erie,Walleye,177,6,2923,28,3134,510,3644,
1939,Erie,Walleye,253,5,4443,67,4768,586,5354,
1940,Erie,Walleye,286,23,3517,44,3870,426,4296,
1941,Erie,Walleye,129,3,2738,39,2909,347,3256,
1942,Erie,Walleye,116,2,2826,28,2972,421,3393,
1943,Erie,Walleye,263,7,2928,25,3223,453,3676,
1944,Erie,Walleye,226,4,3245,23,3498,776,4274,
1945,Erie,Walleye,252,3,5031,33,5319,1068,6387,
1946,Erie,Walleye,494,2,5698,26,6220,739,6959,
1947,Erie,Walleye,348,2,3553,11,3914,793,4707,
1948,Erie,Walleye,403,2,3604,13,4022,799,4821,
1949,Erie,Walleye,358,6,4924,26,5314,849,6163,
1950,Erie,Walleye,331,5,5094,35,5465,1252,6717,
1951,Erie,Walleye,248,4,5418,13,5683,1522,7205,
1952,Erie,Walleye,285,3,4840,19,5147,2167,7314,
1953,Erie,Walleye,383,5,5752,23,6163,2288,8451,
1954,Erie,Walleye,221,9,4971,17,5218,2925,8143,
1955,Erie,Walleye,227,2,5540,25,5794,4774,10568,
1956,Erie,Walleye,235,18,5867,10,6130,9275,15405,
1957,Erie,Walleye,289,24,4676,46,5035,8294,13329,
1958,Erie,Walleye,292,89,3508,71,3960,5073,9033,
1959,Erie,Walleye,129,90,1309,89,1617,1384,3001,
1960,Erie,Walleye,103,60,1002,7,1172,619,1791,
1961,Erie,Walleye,105,84,594,22,805,269,1074,
1962,Erie,Walleye,53,74,302,4,433,284,717,
1963,Erie,Walleye,93,107,575,24,799,1875,2674,
1964,Erie,Walleye,122,84,342,17,565,599,1164,
1965,Erie,Walleye,87,64,256,30,437,346,783,
1966,Erie,Walleye,76,106,163,10,355,991,1346,"OH: Minimum size limit changed from 13'' to 15.5'', March 1 1966."
1967,Erie,Walleye,209,121,173,8,511,747,1258,
1968,Erie,Walleye,85,120,304,6,515,329,844,
1969,Erie,Walleye,47,91,139,5,282,193,475,
1970,Erie,Walleye,0,56,10,8,74,25,99,"OH, MI, and ONT: Fishery closed because of mercury contamination, from 13 April 1970 to 1 March 1972."
1971,Erie,Walleye,,49,,6,55,30,85,
1972,Erie,Walleye,,64,,28,92,51,143,"OH: the closure was continued but no longer on mercury contamination basis, 1 March 1972. "
1973,Erie,Walleye,,67,14,9,90,65,155,1. OH: Harvest is based on two days of fishing; 2. MI: Walleye is awarded sport fishing status.
1974,Erie,Walleye,,105,,8,113,234,347,"ONT: limited landings were allowed under special permits, as mercury levels declined."
1975,Erie,Walleye,,110,,17,127,125,252,
1976,Erie,Walleye,,65,,4,69,254,323,ONT: an interagency quota management system was implemented in 1976; Ontario allocated a portion of its quota to commercial fishermen.  Ohio and Michigan did not.
1977,Erie,Walleye,,68,,2,70,529,599,
1978,Erie,Walleye,0,55,0,15,70,589,659,
1979,Erie,Walleye,0,97,0,5,102,1195,1297,
1980,Erie,Walleye,0,56,0,24,80,1778,1858,
1981,Erie,Walleye,0,42,0,25,67,2100,2167,
1982,Erie,Walleye,0,48,0,6,54,2021,2075,
1983,Erie,Walleye,0,64,0,15,79,3111,3190,
1984,Erie,Walleye,0,79,0,5,84,4111,4195,
1985,Erie,Walleye,0,118,0,14,132,5443,5575,
1986,Erie,Walleye,0,0,0,14,14,6733,6747,
1987,Erie,Walleye,0,1,0,14,15,6783,6798,
1988,Erie,Walleye,0,0,0,12,12,7577,7589,
1989,Erie,Walleye,0,0,0,10,10,6879,6889,
1990,Erie,Walleye,0,0,0,10,10,6631,6641,
1991,Erie,Walleye,0,0,0,11,11,6147,6158,
1992,Erie,Walleye,0,0,0,10,10,6804,6814,
1993,Erie,Walleye,0,0,0,29,29,10171,10200,
1994,Erie,Walleye,0,0,0,28,28,9300,9328,
1995,Erie,Walleye,0,0,0,41,41,9930,9971,
1996,Erie,Walleye,0,0,0,0.081,0.081,10937,10937.081,
1997,Erie,Walleye,0,0,0,0.193,0.193,10700,10700.193,ONT: Data is Processor weight (thousands of pounds)
1998,Erie,Walleye,0,0,0,0.417,0.417,10333,10333.417,
1999,Erie,Walleye,0,0,0,0.229,0.229,9148,9148.229,
2000,Erie,Walleye,,,,0.183,0.183,7044,7044.183,Canadian data is processor weight
2001,Erie,Walleye,,,,0.073,0.073,3792,3792.073,Canadian data is processor weight
2002,Erie,Walleye,,,0,0.043,0.043,3928,3928.043,Canadian data is landed weight
2003,Erie,Walleye,,,,0.129,0.129,3939,3939.129,Canadian data is landed weight
2004,Erie,Walleye,,,,0.501,0.501,2820,2820.501,Canadian data is landed weight
2005,Erie,Walleye,,,1,0.83,1.83,6403,6404.83,Canadian data is landed weight
2006,Erie,Walleye,,,,2.818,2.818,7975,7977.818,
2007,Erie,Walleye,,,,1.88,1.88,5783,5784.88,
2008,Erie,Walleye,,,,1.294,1.294,4979,4980.294,
2009,Erie,Walleye,,,,2,2,3518,3520,
2010,Erie,Walleye,,,,1.109,1.109,3273,3274.109,
2011,Erie,Walleye,,,,0.001,0.001,4417,4417.001,
2012,Erie,Walleye,,,,0.059,0.059,5050,5050.059,
2013,Erie,Walleye,,,,0.264,0.264,4553.316,4553.58,
2014,Erie,Walleye,,0,,0.147,0.147,4870.521,4870.668,
2015,Erie,Walleye,,0,,3.037,3.037,4879.575,4882.612,
2016,Erie,Walleye,,,,1.554,1.554,5007.582,5009.136,
2017,Erie,Walleye,,,,1.713,1.713,5887.674,5889.387,
2018,Erie,Walleye,,,,3.46,3.46,7223.052,7226.512,
2019,Erie,Walleye,,,,4.102,4.102,7890.059,7894.161,
2020,Erie,Walleye,,,,2.203,2.203,8951.551,8953.754,
1867,Erie,Walleye and Blue Pike,,,,,,5,5,
1868,Erie,Walleye and Blue Pike,,,,,,8,8,
1869,Erie,Walleye and Blue Pike,,,,,,28,28,
1870,Erie,Walleye and Blue Pike,,,,,,71,71,
1871,Erie,Walleye and Blue Pike,,,,,,57,57,
1872,Erie,Walleye and Blue Pike,,,,,,96,96,
1873,Erie,Walleye and Blue Pike,,,,,,125,125,
1874,Erie,Walleye and Blue Pike,,,,,,133,133,
1875,Erie,Walleye and Blue Pike,,,,,,254,254,
1876,Erie,Walleye and Blue Pike,,,,,,154,154,
1877,Erie,Walleye and Blue Pike,,,,,,187,187,
1878,Erie,Walleye and Blue Pike,,,,,,199,199,
1879,Erie,Walleye and Blue Pike,,,,,,170,170,
1880,Erie,Walleye and Blue Pike,,,,,,178,178,
1881,Erie,Walleye and Blue Pike,,,,,,290,290,
1882,Erie,Walleye and Blue Pike,,,,,,304,304,
1883,Erie,Walleye and Blue Pike,,,,,,203,203,
1884,Erie,Walleye and Blue Pike,,,,,,206,206,
1885,Erie,Walleye and Blue Pike,230,2044,4554,3765,10593,695,11288,
1886,Erie,Walleye and Blue Pike,,,,,,828,828,
1887,Erie,Walleye and Blue Pike,,,,,,931,931,
1888,Erie,Walleye and Blue Pike,,,,,,1087,1087,
1889,Erie,Walleye and Blue Pike,55,428,10694,3407,14584,902,15486,
1890,Erie,Walleye and Blue Pike,311,359,5600,3371,9641,961,10602,
1891,Erie,Walleye and Blue Pike,83,,,,,895,895,
1892,Erie,Walleye and Blue Pike,173,,,,,1494,1494,
1893,Erie,Walleye and Blue Pike,107,,,,12530,1131,13661,
1894,Erie,Walleye and Blue Pike,233,,,,,1922,1922,
1895,Erie,Walleye and Blue Pike,429,,,,,1643,1643,
1896,Erie,Walleye and Blue Pike,591,,,,,947,947,
1897,Erie,Walleye and Blue Pike,418,415,2852,2696,6381,1097,7478,
1898,Erie,Walleye and Blue Pike,440,,,,,802,802,
1899,Erie,Walleye and Blue Pike,560,831,3409,1590,6390,1271,7661,
1900,Erie,Walleye and Blue Pike,191,,,,,1218,1218,
1901,Erie,Walleye and Blue Pike,401,,,,,1851,1851,
1902,Erie,Walleye and Blue Pike,446,,,,,1455,1455,
1903,Erie,Walleye and Blue Pike,275,1025,2370,2193,5863,1118,6981,
1904,Erie,Walleye and Blue Pike,189,,,,,1064,1064,
1905,Erie,Walleye and Blue Pike,452,,,,,1692,1692,
1906,Erie,Walleye and Blue Pike,397,,,,,1557,1557,
1907,Erie,Walleye and Blue Pike,403,,,,,1896,1896,
1908,Erie,Walleye and Blue Pike,458,1808,6264,2937,11467,1856,13323,
1909,Erie,Walleye and Blue Pike,,,,,,1005,1005,
1910,Erie,Walleye and Blue Pike,,,,,,924,924,
1911,Erie,Walleye and Blue Pike,,,,,,802,802,
1912,Erie,Walleye and Blue Pike,134,,,,,975,975,
1913,Erie,Walleye and Blue Pike,144,43,2068,4010,,964,964,OH: Records cover only part of season. 
1914,Erie,Walleye and Blue Pike,125,472,10270,2859,13726,2086,15812,
1899,Erie,White Bass,23,45,1056,454,1578,,1578,
1900,Erie,White Bass,4,,,,,,,
1901,Erie,White Bass,6,,,,,,,
1902,Erie,White Bass,6,,,,,,,
1903,Erie,White Bass,7,1,24,1,33,,33,
1904,Erie,White Bass,,,,,,,,
1905,Erie,White Bass,4,,,,,,,
1906,Erie,White Bass,33,,,,,,,
1907,Erie,White Bass,,,32,,,,,
1908,Erie,White Bass,40,,172,10,222,,222,
1909,Erie,White Bass,,,,,,,,MI: Commercial fishing prohibited from 1909-1933.
1910,Erie,White Bass,,,,,,,,
1911,Erie,White Bass,,,,,,,,
1912,Erie,White Bass,,,,,,,,
1913,Erie,White Bass,,,512,,512,,512,OH: Records cover only part of season.
1914,Erie,White Bass,,,478,,478,,478,
1915,Erie,White Bass,,,694,,694,,694,
1916,Erie,White Bass,,,343,,343,,343,
1917,Erie,White Bass,,,333,,333,,333,
1918,Erie,White Bass,,,129,,129,,129,
1919,Erie,White Bass,,,193,,193,,193,
1920,Erie,White Bass,,,504,,504,,504,
1921,Erie,White Bass,,,841,,841,,841,
1922,Erie,White Bass,,,821,,821,,821,
1923,Erie,White Bass,,,300,,300,,300,
1924,Erie,White Bass,,,182,,182,,182,
1925,Erie,White Bass,,,,,,,,
1926,Erie,White Bass,,,158,,158,,158,
1927,Erie,White Bass,,,117,4,121,,121,
1928,Erie,White Bass,1,0,255,30,286,,286,
1929,Erie,White Bass,,0,151,4,155,,155,
1930,Erie,White Bass,,1,444,39,484,,484,
1931,Erie,White Bass,,,396,22,418,,418,
1932,Erie,White Bass,0,3,241,9,253,,253,
1933,Erie,White Bass,,2,346,47,395,,395,
1934,Erie,White Bass,10,2,616,56,684,,684,
1935,Erie,White Bass,12,2,693,34,741,,741,
1936,Erie,White Bass,6,0,646,12,664,,664,
1937,Erie,White Bass,26,0,379,30,435,,435,
1938,Erie,White Bass,23,1,668,36,728,,728,
1939,Erie,White Bass,22,0,626,63,711,,711,
1940,Erie,White Bass,17,6,389,57,469,,469,
1941,Erie,White Bass,35,4,385,36,460,,460,
1942,Erie,White Bass,42,1,439,35,517,,517,
1943,Erie,White Bass,21,3,389,47,460,,460,
1944,Erie,White Bass,55,3,771,32,861,,861,
1945,Erie,White Bass,74,3,784,23,884,,884,
1946,Erie,White Bass,53,3,733,33,822,,822,
1947,Erie,White Bass,45,4,435,14,498,,498,
1948,Erie,White Bass,33,8,448,10,499,,499,
1949,Erie,White Bass,29,5,724,50,808,,808,
1950,Erie,White Bass,71,10,956,104,1141,,1141,
1951,Erie,White Bass,36,9,944,47,1036,,1036,
1952,Erie,White Bass,65,18,765,49,897,1422,2319,
1953,Erie,White Bass,42,24,1102,150,1318,2161,3479,
1954,Erie,White Bass,136,42,2820,299,3297,6153,9450,
1955,Erie,White Bass,120,24,2610,177,2931,4505,7436,
1956,Erie,White Bass,93,43,2136,95,2367,5715,8082,
1957,Erie,White Bass,45,13,1320,46,1424,3538,4962,
1958,Erie,White Bass,52,12,858,20,942,1813,2755,
1959,Erie,White Bass,35,24,690,68,817,1406,2223,
1960,Erie,White Bass,99,65,1418,197,1779,3255,5034,
1961,Erie,White Bass,159,23,1905,105,2192,3334,5526,
1962,Erie,White Bass,210,6,1164,10,1390,2349,3739,
1963,Erie,White Bass,126,7,1013,6,1152,1855,3007,
1964,Erie,White Bass,100,9,1415,11,1535,1723,3258,
1965,Erie,White Bass,72,4,1031,3,1110,2611,3721,
1966,Erie,White Bass,65,3,1151,2,1221,1757,2978,
1967,Erie,White Bass,61,2,1035,1,1099,822,1921,
1968,Erie,White Bass,50,4,674,0,728,750,1478,
1969,Erie,White Bass,57,3,1156,3,1219,875,2094,
1970,Erie,White Bass,4,2,1092,5,1103,196,1299,ONT: Fishery closed in Essex and Kent county waters because of mercury contamination.
1971,Erie,White Bass,48,11,929,12,1000,92,1092,"OH: Maximum gill net size increased from 3.25'' to 3.675'' Mar 15, 1971.  Fishery closed July 5, 1971, because of mercury contamination."
1972,Erie,White Bass,60,5,699,6,770,1756,2526,"OH: Catch limited to fish b/w 9'' and 10.25'' March 1, 1972.  Upper limit established because of mercury contamination."
